id,prenom,nom,sexe,date_naissance,classe
184,Imran,Fontaine,Garçon,2006-12-19,2
297,Milo,Fontaine,Garçon,2008-01-09,3
304,Eliott,Fontaine,Garçon,2012-05-07,7
458,Timéo,Fontaine,Garçon,2005-02-10,1
498,Gaspard,Fontaine,Garçon,2007-07-28,3
933,Isaac,Fontaine,Garçon,2009-01-09,4
937,Valentin,Fontaine,Garçon,2012-05-20,7
1182,Paul,Fontaine,Garçon,2008-10-23,4
1376,Hugo,Fontaine,Garçon,2008-03-07,4
1486,Amir,Fontaine,Garçon,2006-03-23,2
1527,Marius,Fontaine,Garçon,2011-04-16,6
1548,Arthur,Fontaine,Garçon,2006-02-26,2
1667,Milo,Fontaine,Garçon,2011-02-08,6
1715,Marceau,Fontaine,Garçon,2010-01-10,5
1759,Eliott,Fontaine,Garçon,2007-12-19,3
2224,Amir,Fontaine,Garçon,2012-05-20,7
2268,Isaac,Fontaine,Garçon,2011-08-07,7
2310,Valentin,Fontaine,Garçon,2005-09-07,1
2495,Adam,Fontaine,Garçon,2010-09-27,6
2551,Léo,Fontaine,Garçon,2009-08-17,5
2623,Lyam,Fontaine,Garçon,2006-11-23,2
2656,Tom,Fontaine,Garçon,2008-06-17,4
2724,Mohamed,Fontaine,Garçon,2005-10-26,1
3160,Rayan,Fontaine,Garçon,2008-01-06,3
3278,Eden,Fontaine,Garçon,2007-03-24,3
3553,Robin,Fontaine,Garçon,2008-05-06,3
3680,Imran,Fontaine,Garçon,2008-12-13,4
3746,Malo,Fontaine,Garçon,2010-07-18,6
3774,Augustin,Fontaine,Garçon,2007-12-20,3
3971,Axel,Fontaine,Garçon,2012-04-21,7
4079,Maël,Fontaine,Garçon,2010-04-27,5
4313,Valentin,Fontaine,Garçon,2009-05-02,5
4663,Gaspard,Fontaine,Garçon,2007-04-16,2
